19.19575649	-238.46705769	-62.64376831	-22.23890305
271.67983582	-85.15299323	-58.15097427	-19.83111191
281.38257624	-221.74012941	-57.98510742	-22.09182739
421.14850320	-336.17985231	-55.41208649	-23.95430756
486.14615956	-345.35260779	-54.24389648	-24.05360794
398.15319815	-549.56125768	-55.75778198	-27.44194603
243.72388240	-540.15742505	-58.60462189	-27.31692123
204.04969276	-367.91134500	-59.33889008	-24.48889160
65.86209211	-74.94444049	-61.74250031	-19.64500046
36.06146998	-131.00615402	-62.26944733	-20.56222534
